row,name,light_years_from_earth,stellar_magnitude,discovery_date,planet_type,orbital_period,eccentricity,solar_system_name,planet_discovery_method,planet_orbital_inclination,planet_density,right_ascension,declination,host_temperature,host_mass,host_radius,mass,radius,orbit_radius
3721,Kepler-942 b,711.0,13.066,2016,Neptune-like,45 days,0,Kepler-944,Transit,,0.0,19h34m24.30s,+42d22m47.1s,5409.0,0.86,0.83,5.18,2.13,0
3722,Kepler-943 b,4042.0,15.639,2016,Neptune-like,49.8 days,0,Kepler-945,Transit,,0.0,19h25m04.74s,+42d05m45.8s,5718.0,0.97,0.97,29.5,0.529,0
3723,Kepler-944 b,3376.0,15.711,2016,Neptune-like,43.3 days,0,Kepler-946,Transit,,0.0,20h03m43.11s,+44d01m43.6s,5665.0,0.94,0.93,7.41,0.235,0
3724,Kepler-945 b,5033.0,15.86,2016,Neptune-like,31 days,0,Kepler-947,Transit,,0.0,19h37m28.01s,+42d15m09.6s,5508.0,0.9,0.87,7.41,0.235,0
3725,Kepler-946 b,2995.0,14.923,2016,Super Earth,11.8 days,0,Kepler-948,Transit,,0.0,19h33m12.06s,+41d31m24.0s,5679.0,0.96,0.94,4.38,1.93,0
3726,Kepler-947 b,3875.0,15.752,2016,Neptune-like,27 days,0,Kepler-949,Transit,,0.0,19h54m25.89s,+46d27m13.3s,5403.0,0.89,0.86,5.82,0.203,0
3727,Kepler-948 b,2884.0,14.786,2016,Super Earth,7.8 days,0,Kepler-95,Transit,,1.71,18h57m55.79s,+44d23m52.9s,5699.0,1.08,1.41,4.08,1.85,0
3728,Kepler-949 b,1866.0,14.508,2016,Neptune-like,8.7 days,0,Kepler-950,Transit,,0.0,19h11m49.58s,+41d07m49.2s,5857.0,1.02,1.02,8.8,0.26,0
3729,Kepler-94 b,629.0,12.857,2014,Neptune-like,2.5 days,0,Kepler-951,Transit,,0.0,19h10m57.01s,+38d06m52.4s,4834.0,0.77,0.73,10.84,0.313,0.03106
3730,Kepler-94 c,629.0,12.857,2014,Gas Giant,2.2 years,0,Kepler-952,Transit,,0.0,19h01m29.27s,+41d59m38.1s,5730.0,1.0,0.99,9.836,1.11,0
3731,Kepler-950 b,4857.0,15.681,2016,Gas Giant,98.7 days,0,Kepler-953,Transit,,0.0,19h15m53.20s,+44d37m28.3s,5416.0,0.95,0.99,0.188,0.801,0
3732,Kepler-951 b,1331.0,14.491,2016,Neptune-like,71.5 days,0,Kepler-953,Transit,,0.0,19h15m53.20s,+44d37m28.3s,5416.0,0.95,0.99,26.7,0.499,0
3733,Kepler-952 b,3807.0,15.188,2016,Gas Giant,130.4 days,0,Kepler-954,Transit,,0.0,19h43m26.25s,+47d56m22.2s,4990.0,0.82,0.76,0.143,0.682,0
3734,Kepler-953 b,783.0,12.143,2016,Neptune-like,88.4 days,0,Kepler-955,Transit,,0.0,19h13m53.15s,+40d16m11.3s,5350.0,0.89,0.84,16.5,0.376,0
3735,Kepler-953 c,783.0,12.143,2016,Super Earth,9.1 days,0,Kepler-956,Transit,,0.0,19h30m07.39s,+49d03m42.1s,6040.0,1.1,1.15,1.81,1.19,0
3736,Kepler-954 b,731.0,12.943,2016,Neptune-like,16.8 days,0,Kepler-957,Transit,,0.0,19h20m37.52s,+48d49m08.4s,4963.0,0.81,0.75,5.99,0.207,0
3737,Kepler-955 b,2078.0,14.627,2016,Neptune-like,14.5 days,0,Kepler-958,Transit,,0.0,19h09m01.60s,+46d04m00.4s,5421.0,0.91,0.86,9.96,0.279,0
3738,Kepler-956 b,2058.0,13.289,2016,Neptune-like,5.2 days,0,Kepler-959,Transit,,0.0,19h28m41.08s,+40d48m41.0s,7005.0,1.6,2.01,9.27,0.268,0
3739,Kepler-957 b,2443.0,15.691,2016,Neptune-like,5.9 days,0,Kepler-96,Transit,,2.26,19h48m16.71s,+40d31m30.5s,5690.0,1.0,1.02,25.9,0.491,0
3740,Kepler-958 b,1523.0,13.73,2016,Super Earth,9.8 days,0,Kepler-960,Transit,,0.0,18h45m49.72s,+46d44m47.3s,4755.0,0.77,0.72,4.9,2.06,0
3741,Kepler-959 b,3272.0,12.466,2016,Neptune-like,14.8 days,0,Kepler-961,Transit,,0.0,18h48m08.52s,+43d37m52.6s,5582.0,0.96,0.9,17.6,0.391,0
3742,Kepler-95 b,1472.0,12.304,2014,Neptune-like,11.5 days,0,Kepler-962,Transit,,0.0,19h41m15.15s,+46d14m15.0s,5478.0,0.93,0.86,13,0.305,0
3743,Kepler-960 b,972.0,13.841,2016,Neptune-like,3.1 days,0,Kepler-963,Transit,,0.0,19h47m00.71s,+45d02m28.0s,5461.0,0.91,0.87,5.86,0.204,0
3744,Kepler-961 b,1980.0,14.043,2016,Neptune-like,16.9 days,0,Kepler-964,Transit,,0.0,19h41m12.02s,+40d33m23.7s,5427.0,0.93,0.84,7.04,0.227,0
3745,Kepler-962 b,1432.0,13.558,2016,Super Earth,12.1 days,0,Kepler-965,Transit,,0.0,19h54m03.68s,+41d53m28.3s,5886.0,1.05,1.15,4.54,1.97,0
3746,Kepler-963 b,2564.0,14.912,2016,Neptune-like,10 days,0,Kepler-966,Transit,,0.0,19h49m04.94s,+50d07m18.5s,5840.0,1.02,1.02,7.56,0.237,0
3747,Kepler-964 b,1559.0,13.903,2016,Neptune-like,13.5 days,0,Kepler-967,Transit,,0.0,19h06m13.94s,+38d24m19.3s,5178.0,0.84,0.8,5.14,2.12,0
3748,Kepler-965 b,2016.0,13.333,2016,Neptune-like,134.3 days,0,Kepler-967,Transit,,0.0,19h06m13.94s,+38d24m19.3s,5178.0,0.84,0.8,11.4,0.302,0
3749,Kepler-966 b,2522.0,14.444,2016,Neptune-like,99.7 days,0,Kepler-968,Transit,,0.0,19h02m24.61s,+50d06m43.3s,4598.0,0.76,0.7,16,0.368,0
3750,Kepler-967 b,1628.0,14.451,2016,Neptune-like,13.2 days,0,Kepler-968,Transit,,0.0,19h02m24.61s,+50d06m43.3s,4598.0,0.76,0.7,6.12,0.21,0
3751,Kepler-967 c,1628.0,14.451,2016,Neptune-like,198.7 days,0,Kepler-969,Transit,,0.0,19h13m29.40s,+47d56m00.8s,5214.0,0.92,0.82,12.9,0.326,0
3752,Kepler-968 b,1018.0,14.25,2016,Super Earth,3.7 days,0,Kepler-969,Transit,,0.0,19h13m29.40s,+47d56m00.8s,5214.0,0.92,0.82,4.66,2.0,0
3753,Kepler-968 c,1018.0,14.25,2016,Super Earth,5.7 days,0,Kepler-97,Transit,,5.44,19h09m18.39s,+48d40m24.4s,5779.0,0.94,0.98,3.5,1.69,0
3754,Kepler-969 b,1341.0,13.722,2016,Super Earth,34.2 days,0,Kepler-97,Radial Velocity,,0.0,19h09m18.39s,+48d40m24.4s,5779.0,0.94,0.98,4.94,2.07,0
3755,Kepler-969 c,1341.0,13.722,2016,Terrestrial,1.7 days,0,Kepler-970,Transit,,0.0,19h18m30.06s,+40d42m31.4s,4511.0,0.7,0.67,0.937,0.99,0
3756,Kepler-96 b,402.0,10.297,2014,Neptune-like,16.2 days,0,Kepler-971,Transit,,0.0,18h56m22.70s,+41d10m58.2s,5431.0,0.88,0.85,8.46,0.238,0
3757,Kepler-970 b,1142.0,14.806,2016,Neptune-like,16.7 days,0,Kepler-972,Transit,,0.0,19h43m18.89s,+43d25m31.8s,6146.0,1.15,1.22,8.1,0.247,0
3758,Kepler-971 b,1125.0,13.218,2016,Neptune-like,9.6 days,0,Kepler-973,Transit,,0.0,19h20m39.66s,+49d55m25.9s,5213.0,0.86,0.78,5.18,2.13,0
3759,Kepler-972 b,4254.0,14.892,2016,Neptune-like,7 days,0,Kepler-974,Transit,,0.0,19h00m03.14s,+40d13m14.7s,3687.0,0.52,0.5,19.5,0.415,0
3760,Kepler-973 b,969.0,13.234000000000002,2016,Super Earth,49.6 days,0,Kepler-975,Transit,,0.0,19h22m11.65s,+38d29m43.0s,4897.0,0.8,0.75,4.5,1.96,0
3761,Kepler-974 b,395.0,14.413,2016,Super Earth,4.2 days,0,Kepler-976,Transit,,0.0,19h19m28.71s,+46d43m46.9s,5232.0,0.87,0.83,3.09,1.57,0
3762,Kepler-975 b,1318.0,14.452,2016,Super Earth,2 days,0,Kepler-977,Transit,,0.0,19h26m03.89s,+42d14m53.5s,5315.0,0.87,0.83,2.79,1.48,0
3763,Kepler-976 b,3327.0,15.803,2016,Neptune-like,106 days,0,Kepler-978,Transit,,0.0,19h06m50.57s,+43d02m36.4s,6002.0,1.07,1.09,14.9,0.353,0
3764,Kepler-977 b,2166.0,14.823,2016,Neptune-like,26.9 days,0,Kepler-979,Transit,,0.0,20h01m29.11s,+46d24m29.8s,5310.0,0.87,0.83,7.37,0.234,0
3765,Kepler-978 b,2035.0,13.374,2016,Neptune-like,49.6 days,0,Kepler-98,Transit,,2.18,19h02m38.80s,+37d57m52.2s,5539.0,0.99,1.11,9.22,0.267,0
3766,Kepler-979 b,1977.0,14.625,2016,Neptune-like,8.1 days,0,Kepler-980,Transit,,0.0,19h38m27.12s,+45d03m36.6s,5935.0,1.05,1.06,7.85,0.243,0
3767,Kepler-97 b,1323.0,12.813,2014,Super Earth,2.6 days,0,Kepler-981,Transit,,0.0,19h16m59.74s,+47d39m00.4s,5718.0,0.98,0.96,3.51,1.48,0
3768,Kepler-97 c,1323.0,12.813,2014,Gas Giant,2.2 years,0,Kepler-982,Transit,,0.0,19h13m40.24s,+46d35m25.5s,6139.0,1.16,1.29,1.08,0,0
3769,Kepler-980 b,2623.0,14.112,2016,Neptune-like,11.6 days,0,Kepler-983,Transit,,0.0,19h00m24.97s,+45d00m29.4s,6052.0,1.13,1.08,7.61,0.238,0
3770,Kepler-981 b,2978.0,14.704,2016,Neptune-like,4.5 days,0,Kepler-984,Transit,,0.0,19h47m50.13s,+46d23m38.9s,5610.0,0.96,0.93,5.95,0.206,0
3771,Kepler-982 b,2290.0,12.987,2016,Neptune-like,15.8 days,0,Kepler-985,Transit,,0.0,19h20m34.63s,+44d02m59.8s,5434.0,0.91,0.85,5.69,0.201,0
3772,Kepler-983 b,2137.0,13.986,2016,Neptune-like,60.1 days,0,Kepler-986,Transit,,0.0,19h32m22.56s,+42d53m47.2s,5642.0,0.96,0.98,6.17,0.211,0
3773,Kepler-984 b,1504.0,13.468,2016,Neptune-like,43 days,0,Kepler-987,Transit,,0.0,19h17m38.66s,+46d07m51.1s,5637.0,0.97,0.91,5.14,2.12,0
3774,Kepler-985 b,2417.0,14.717,2016,Neptune-like,116.3 days,0,Kepler-988,Transit,,0.0,19h22m50.01s,+42d14m14.1s,4005.0,0.55,0.53,9.17,0.266,0
3775,Kepler-986 b,1837.0,13.642,2016,Neptune-like,56.4 days,0,Kepler-989,Transit,,0.0,18h46m19.90s,+47d14m01.1s,5074.0,0.82,0.78,6.17,0.211,0
3776,Kepler-987 b,3053.0,14.979,2016,Neptune-like,105.3 days,0,Kepler-99,Transit,,10.9,19h49m24.96s,+41d18m00.2s,4782.0,0.79,0.73,10.7,0.291,0
3777,Kepler-988 b,809.0,15.213,2016,Super Earth,17.8 days,0,Kepler-990,Transit,,0.0,19h51m45.17s,+46d52m53.0s,5948.0,1.05,1.08,4.94,2.07,0
3778,Kepler-989 b,1579.0,14.408,2016,Neptune-like,8 days,0,Kepler-990,Transit,,0.0,19h51m45.17s,+46d52m53.0s,5948.0,1.05,1.08,5.52,2.21,0
3779,Kepler-98 b,1154.0,12.869000000000002,2014,Neptune-like,1.5 days,0,Kepler-991,Transit,,0.0,19h48m21.76s,+49d37m35.7s,4392.0,0.64,0.61,3.55,1.99,0
3780,Kepler-990 b,3043.0,14.495,2016,Neptune-like,9.9 days,0,Kepler-992,Transit,,0.0,18h57m43.27s,+47d38m30.4s,4944.0,0.8,0.74,7.27,0.232,0
3781,Kepler-990 c,3043.0,14.495,2016,Super Earth,0.5 days,0,Kepler-993,Transit,,0.0,19h30m27.38s,+44d23m40.8s,3843.0,0.57,0.54,2.96,1.53,0
3782,Kepler-991 b,1207.0,15.148,2016,Neptune-like,82.5 days,0,Kepler-994,Transit,,0.0,19h16m17.33s,+47d24m25.5s,3934.0,0.56,0.54,6.99,0.227,0
3783,Kepler-992 b,874.0,13.39,2016,Super Earth,20.2 days,0,Kepler-995,Transit,,0.0,18h58m27.77s,+39d07m51.7s,5206.0,0.83,0.8,3.26,1.62,0
3784,Kepler-993 b,972.0,15.924,2016,Neptune-like,22.1 days,0,Kepler-996,Transit,,0.0,19h27m39.07s,+41d32m01.0s,6014.0,1.09,1.14,9.11,0.265,0
3785,Kepler-994 b,555.0,14.465,2016,Super Earth,1.2 days,0,Kepler-997,Transit,,0.0,19h16m56.01s,+49d56m20.2s,6150.0,1.22,1.56,3.19,1.6,0
3786,Kepler-995 b,2150.0,14.880999999999998,2016,Neptune-like,28.3 days,0,Kepler-998,Transit,,0.0,19h47m01.00s,+49d12m31.5s,6058.0,1.12,1.18,7.75,0.241,0
3787,Kepler-996 b,3582.0,14.639,2016,Super Earth,3.8 days,0,Kepler-999,Transit,,0.0,19h58m38.51s,+46d11m54.3s,6237.0,1.29,1.65,4.58,1.98,0
3788,Kepler-997 b,1533.0,11.848,2016,Super Earth,2.7 days,0,KIC 10001893,Orbital Brightness Modulation,,0.0,19h09m33.41s,+46d59m04.2s,27500.0,,,2.42,1.36,0
3789,Kepler-998 b,3249.0,14.341,2016,Neptune-like,5.7 days,0,KIC 10001893,Orbital Brightness Modulation,,0.0,19h09m33.41s,+46d59m04.2s,27500.0,,,5.99,0.207,0
3790,Kepler-999 b,1853.0,12.234000000000002,2016,Neptune-like,6 days,0,KIC 10001893,Orbital Brightness Modulation,,0.0,19h09m33.41s,+46d59m04.2s,27500.0,,,6.08,0.209,0
3791,Kepler-99 b,684.0,12.962,2014,Super Earth,4.6 days,0,KIC 10525077,Transit,89.861,0.0,19h09m30.74s,+47d46m16.3s,6091.0,1.01,1.01,6.15,1.48,0
3792,Kepler-9 b,2003.0,13.781,2010,Gas Giant,19.2 days,0.06,KIC 3558849,Transit,89.973,0.0,19h39m47.96s,+38d36m18.7s,6175.0,0.98,1.01,0.13655,0.74,0.143
3793,Kepler-9 c,2003.0,13.781,2010,Neptune-like,39 days,0.07,KIC 5095269,Eclipse Timing Variations,105.83,0.0,19h22m12.47s,+40d14m06.1s,,1.21,,29.9,0.721,0.227
3794,Kepler-9 d,2003.0,13.781,2010,Super Earth,1.6 days,0,KIC 5437945,Transit,89.904,0.0,19h13m53.97s,+40d39m04.9s,6340.0,1.07,1.24,3.33,1.64,0.0273
3795,KIC 10001893 b,5736.0,15.711,2014,Unknown,0.2 days,0,KIC 5951458,Transit,89.79899999999998,0.0,19h15m57.98s,+41d13m22.9s,6258.0,0.98,1.52,0,0,0
3796,KIC 10001893 c,5736.0,15.711,2014,Unknown,0.3 days,0,KIC 7917485,Pulsation Timing Variations,,0.0,19h57m44.30s,+43d37m57.4s,7067.0,1.63,,0,0,0
3797,KIC 10001893 d,5736.0,15.711,2014,Unknown,0.8 days,0,KOI-7892,Transit,89.3,0.0,18h49m30.61s,+44d41m40.5s,6474.0,1.04,1.26,0,0,0
3798,KIC 10525077 b,4976.0,15.304,2015,Neptune-like,2.3 years,0,KOI-7892,Transit,89.70100000000002,0.0,18h49m30.61s,+44d41m40.5s,6474.0,1.04,1.26,25.9,0.491,0
3799,KIC 3558849 b,4106.0,14.167,2015,Neptune-like,3.6 years,0,KIC 9663113,Transit,89.76799999999999,0.0,19h48m10.90s,+46d19m43.3s,6065.0,0.98,1.03,38.1,0.616,0
3800,KIC 5095269 b,4014.0,13.439,2017,Gas Giant,237.7 days,0.06,KMT-2016-BLG-0212L,Microlensing,,0.0,17h53m45.42s,-29d05m12.80s,,0.48,,7.693,1.13,0.8
3801,KIC 5437945 b,4314.0,13.751,2015,Neptune-like,440.8 days,0,KMT-2016-BLG-1107L,Microlensing,,0.0,17h45m40.26s,-26d01m54.48s,,0.09,,33.6,0.571,0
3802,KIC 5951458 b,2475.0,12.688,2015,Neptune-like,3.6 years,0,KMT-2016-BLG-1397L,Microlensing,,0.0,18h10m39.51s,-24d51m27.9s,,0.45,,35.4,0.589,0
3803,KIC 7917485 b,4695.0,13.2,2016,Gas Giant,2.3 years,0.15,KMT-2016-BLG-1820L,Microlensing,,0.0,17h55m03.54s,-29d31m00.9s,,0.04,,11.8,1.1,0
3804,KIC 8540376 b,3609.0,14.217,2015,Neptune-like,31.8 days,0,KMT-2016-BLG-1836L,Microlensing,,0.0,17h53m00.08s,-30d02m26.70s,,0.49,,15.8,0.366,0
3805,KIC 8540376 c,3609.0,14.217,2015,Neptune-like,75.2 days,0,KMT-2016-BLG-2142L,Microlensing,,0.0,17h52m26.88s,-29d23m04.4s,,0.07,,6.35,0.214,0
3806,KIC 9663113 b,5450.0,13.907,2015,Neptune-like,1.6 years,0,KMT-2017-BLG-0165L,Microlensing,,0.0,17h58m35.92s,-28d08m01.21s,,0.76,,19.2,0.41,0
3807,KMT-2016-BLG-0212L b,20551.0,0.0,2018,Gas Giant,4.7 years,0,KMT-2017-BLG-1038L,Microlensing,,0.0,17h44m41.02s,-25d08m34.91s,,0.37,,18,1.08,2.2
3808,KMT-2016-BLG-1107L b,21696.0,0.0,2019,Gas Giant,243.5 days,0,KMT-2017-BLG-1146L,Microlensing,,0.0,17h56m25.40s,-33d08m32.89s,,0.33,,3.283,1.17,0.342
3809,KMT-2016-BLG-1397L b,21529.0,0.0,2018,Gas Giant,17.2 years,0,KMT-2018-BLG-0029L,Microlensing,,0.0,17h37m52.67s,-27d59m04.92s,,1.14,,7,1.13,5.1
3810,KMT-2016-BLG-1820L b,20420.0,0.0,2018,Gas Giant,5.6 years,0,KMT-2018-BLG-1292L,Microlensing,,0.0,17h33m42.62s,-33d31m14.41s,,1.09,,4.57,1.15,1.08
3811,KMT-2016-BLG-1836L b,23160.0,0.0,2019,Gas Giant,9.4 years,0,KMT-2018-BLG-1990L,Microlensing,,0.0,17h53m44.49s,-22d09m09.14s,,0.09,,2.2,1.19,3.5
3812,KMT-2016-BLG-2142L b,22867.0,0.0,2018,Gas Giant,2.9 years,0,KMT-2019-BLG-1339L,Microlensing,,0.0,17h42m58.42s,-25d34m26.1s,,0.48,,15.49,1.09,0.83
3813,KMT-2017-BLG-0165L b,14777.0,0.0,2018,Neptune-like,7.4 years,0,KMT-2019-BLG-1953L,Microlensing,,0.0,17h56m27.90s,-28d12m04.00s,,0.31,,34,0.575,3.45
3814,KMT-2017-BLG-1038L b,19572.0,0.0,2019,Gas Giant,4 years,0,KOI-12,Transit,,0.0,19h49m48.90s,+41d00m39.6s,,1.5,1.4,2,1.19,1.8
3815,KMT-2017-BLG-1146L b,21203.0,0.0,2019,Gas Giant,3.5 years,0,KOI-1257,Transit,89.66,2.1,19h24m54.04s,+44d55m38.6s,5520.0,0.99,1.13,0.71,1.25,1.6
3816,KMT-2018-BLG-0029L b,11026.0,0.0,2020,Neptune-like,8.3 years,0,KOI-13,Transit,86.77,3.6,19h07m53.09s,+46d52m06.1s,7650.0,1.72,1.74,7.59,0.238,4.27
3817,KMT-2018-BLG-1292L b,11287.0,0.0,2020,Gas Giant,14.2 years,0,KOI-142,Transit,90.97,1.29,19h24m35.54s,+40d40m09.9s,5466.0,0.99,0.9,4.42,1.15,6.03
3818,KMT-2018-BLG-1990L b,3154.0,0.0,2019,Gas Giant,2.2 years,0,KOI-142,Transit,93.15,0.0,19h24m35.54s,+40d40m09.9s,5466.0,0.99,0.9,0.348,1.15,0.763
3819,KMT-2019-BLG-1339L b,19963.0,0.0,2020,Gas Giant,4.6 years,0,KOI-1599,Transit,89.78,0.0,19h53m29.72s,+40d37m06.3s,,1.02,0.97,1.25,1.22,2.15
3820,KMT-2019-BLG-1953L b,22964.0,0.0,2020,Gas Giant,365 days,0,KOI-1599,Transit,88.6,0.0,19h53m29.72s,+40d37m06.3s,,1.02,0.97,0.64,1.26,0
3821,KOI-1257 b,2936.0,14.867,2014,Gas Giant,86.6 days,0.77,KOI-1783,Transit,89.441,0.56,19h17m21.94s,+46d59m17.7s,5922.0,1.08,1.14,1.45,0.94,0.382
3822,KOI-12 b,1318.0,11.253,2015,Gas Giant,17.9 days,0.34,KOI-1783,Transit,,0.51,19h17m21.94s,+46d59m17.7s,5922.0,1.08,1.14,1.1,1.23,0.154
3823,KOI-13 b,1354.0,9.958,2011,Gas Giant,1.8 days,0,KOI-217,Transit,89.8,0.0,19h39m27.72s,+46d17m09.1s,5545.0,0.95,0.86,9.28,1.512,0.03641
3824,KOI-142 b,1106.0,13.11,2013,Neptune-like,10.9 days,0.06,KOI-351,Transit,89.4,0.0,18h57m44.04s,+49d18m18.6s,6080.0,1.2,1.2,9.5,0.307,0
3825,KOI-142 c,1106.0,13.11,2013,Gas Giant,22.3 days,0.06,KOI-351,Transit,89.68,0.0,18h57m44.04s,+49d18m18.6s,6080.0,1.2,1.2,0.674,1.25,0.15525
3826,KOI-1599.01,3813.0,14.854,2019,Super Earth,20.4 days,0.01,KOI-351,Transit,89.71,0.0,18h57m44.04s,+49d18m18.6s,6080.0,1.2,1.2,4.6,1.9,0.14728
3827,KOI-1599.02,3813.0,14.854,2019,Super Earth,13.6 days,0.01,KOI-351,Transit,89.79,0.0,18h57m44.04s,+49d18m18.6s,6080.0,1.2,1.2,9,1.9,0.112293
3828,KOI-1783.01,2896.0,13.906,2020,Gas Giant,134.5 days,0,KOI-351,Transit,89.77,0.0,18h57m44.04s,+49d18m18.6s,6080.0,1.2,1.2,0.22339,0.79,0
3829,KOI-1783.02,2896.0,13.906,2020,Neptune-like,284.2 days,0,KOI-351,Transit,89.8,0.0,18h57m44.04s,+49d18m18.6s,6080.0,1.2,1.2,15,0.485,0
3830,KOI-217 b,2610.0,15.101,2010,Gas Giant,3.9 days,0,KOI-351,Transit,89.6,0.0,18h57m44.04s,+49d18m18.6s,6080.0,1.2,1.2,0,1.11,0.0477
3831,KOI-3680 b,3088.0,14.77,2018,Gas Giant,141.2 days,0.5,KOI-3680,Transit,89.89200000000002,2.46,19h33m07.58s,+45d18m34.8s,5830.0,1.01,0.96,1.93,0.99,0.534
3832,KOI-55 b,3849.0,14.87,2011,Terrestrial,0.2 days,0,KOI-55,Orbital Brightness Modulation,65.0,0.0,19h45m25.47s,+41d05m33.9s,27730.0,0.5,0.2,0.44,0.759,0.006
3833,KOI-55 c,3849.0,14.87,2011,Terrestrial,0.3 days,0,KOI-55,Orbital Brightness Modulation,65.0,0.0,19h45m25.47s,+41d05m33.9s,27730.0,0.5,0.2,0.655,0.867,0.0076
3834,KOI-94 b,1578.0,12.188,2013,Super Earth,3.7 days,0.25,KOI-94,Transit,89.3,10.1,19h49m19.93s,+41d53m28.0s,6182.0,1.28,1.52,10.5,1.71,0.05119
3835,KOI-94 c,1578.0,12.188,2013,Neptune-like,10.4 days,0.43,KOI-94,Transit,88.36,0.91,19h49m19.93s,+41d53m28.0s,6182.0,1.28,1.52,15.6,0.385,0.1013
3836,KOI-94 d,1578.0,12.188,2013,Gas Giant,22.3 days,0.02,KOI-94,Transit,89.87100000000002,0.363,19h49m19.93s,+41d53m28.0s,6182.0,1.28,1.52,0.334,1.005,0.1684
3837,KOI-94 e,1578.0,12.188,2013,Neptune-like,54.3 days,0.02,KOI-94,Transit,89.76,0.6,19h49m19.93s,+41d53m28.0s,6182.0,1.28,1.52,35,0.585,0.3046
3838,KPS-1 b,863.0,13.033,2018,Gas Giant,1.7 days,0,KPS-1,Transit,83.2,1.31,11h00m40.18s,+64d57m50.5s,5165.0,0.89,0.91,1.09,1.03,0.0269
3839,L 168-9 b,82.0,11.014,2020,Super Earth,1.4 days,< 0.21,L 168-9,Transit,85.5,9.6,23h20m07.53s,-60d03m54.7s,3800.0,0.62,0.6,4.6,1.39,0.02091
3840,L 98-59 b,35.0,11.685,2019,Super Earth,2.3 days,< 0.12,L 98-59,Transit,,12.7,08h18m07.62s,-68d18m46.80s,3412.0,0.31,0.31,1.01,0.8,0.02282
3841,L 98-59 c,35.0,11.685,2019,Super Earth,3.7 days,< 0.07,L 98-59,Transit,,5.4,08h18m07.62s,-68d18m46.80s,3412.0,0.31,0.31,2.42,1.35,0.0317
3842,L 98-59 d,35.0,11.685,2019,Super Earth,7.5 days,< 0.09,L 98-59,Transit,,3.3,08h18m07.62s,-68d18m46.80s,3412.0,0.31,0.31,2.31,1.57,0.0506
3843,LHS 1140 b,49.0,14.18,2017,Super Earth,24.7 days,< 0.06,LHS 1140,Transit,89.89,7.5,00h44m59.34s,-15d16m17.5s,3216.0,0.18,0.21,6.98,1.727,0.0936
3844,LHS 1140 c,49.0,14.18,2018,Super Earth,3.8 days,< 0.31,LHS 1140,Transit,89.92,4.7,00h44m59.34s,-15d16m17.5s,3216.0,0.18,0.21,1.81,1.282,0.02675
3845,LHS 1815 b,97.0,12.15,2020,Super Earth,3.8 days,0,LHS 1815,Transit,88.125,0.0,06h04m20.36s,-55d18m46.8s,3643.0,0.5,0.5,8.7,1.088,0.0404
3846,LHS 3844 b,49.0,15.26,2019,Super Earth,0.5 days,0,LHS 3844,Transit,88.5,0.0,22h41m58.10s,-69d10m08.4s,3036.0,0.15,0.19,2.25,1.303,0.00622
3847,LkCa 15 b,518.0,12.025,2015,Unknown,Infinity years,0,LkCa 15,Imaging,50.0,0.0,04h39m17.80s,+22d21m03.5s,,,,0,0,14.7
3848,LkCa 15 c,518.0,12.025,2015,Unknown,Infinity years,0,LkCa 15,Imaging,50.0,0.0,04h39m17.80s,+22d21m03.5s,,,,0,0,18.6
3849,LP 791-18 b,86.0,16.9,2019,Super Earth,0.9 days,0,LP 791-18,Transit,87.3,0.0,11h02m45.96s,-16d24m22.29s,2960.0,0.14,0.17,1.46,1.12,0.00969
3850,LP 791-18 c,86.0,16.9,2019,Neptune-like,5 days,0,LP 791-18,Transit,89.55,0.0,11h02m45.96s,-16d24m22.29s,2960.0,0.14,0.17,5.95,0.206,0.029392
3851,LSPM J2116+0234 b,58.0,10.86,2019,Neptune-like,14.4 days,0.18,LSPM J2116+0234,Radial Velocity,,0.0,21h16m27.28s,+02d34m51.39s,3475.0,0.43,0.43,13.3,0.331,0.0876
3852,LTT 1445 A b,22.0,11.22,2019,Super Earth,5.4 days,0.19,LTT 1445 A,Transit,89.4,4.4,03h01m51.39s,-16d35m36.1s,3337.0,0.26,0.28,2.2,1.38,0.03807
3853,LTT 3780 b,72.0,13.07,2020,Super Earth,0.8 days,0,LTT 3780,Transit,87.1,6.1,10h18m34.78s,-11d43m04.08s,3331.0,0.4,0.37,2.62,1.332,0.01211
3854,LTT 3780 c,72.0,13.07,2020,Super Earth,12.3 days,0.06,LTT 3780,Transit,89.18,3.9,10h18m34.78s,-11d43m04.08s,3331.0,0.4,0.37,8.6,0.205,0.07673
3855,LTT 9779 b,263.0,9.758,2020,Neptune-like,0.8 days,0,LTT 9779,Transit,76.39,1.536,23h54m40.21s,-37d37m40.5s,5443.0,0.77,0.95,29.32,0.421,0.01679
3856,Lupus-TR-3 b,6524.0,18.765,2007,Gas Giant,3.9 days,0,Lupus-TR-3,Transit,88.3,1.4,15h30m18.62s,-42d58m47.7s,5000.0,0.87,0.82,0.81,0.89,0.0464
3857,MASCARA-1 b,616.0,8.273,2017,Gas Giant,2.1 days,0,MASCARA-1,Transit,87.0,1.5,21h10m12.37s,+10d44m19.9s,7554.0,1.72,2.1,3.7,1.5,0.043
3858,MASCARA-4 b,560.0,8.19,2020,Gas Giant,2.8 days,0,MASCARA-4,Transit,88.5,0.0,09h50m19.20s,-66d06m49.89s,7800.0,1.75,1.92,3.1,1.53,0.047
3859,MOA-2007-BLG-192L b,3262.0,0.0,2008,Super Earth,2 years,0,MOA-2007-BLG-192L,Microlensing,,0.0,18h08m03.80s,-27d09m00.3s,,0.06,,3.3,1.63,0.62
